Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%),Years_Active,Burn_Rate_Yearly,Estimated_Customers,CAC,LTV,LTV_CAC_Ratio,Runway_Years
Startup_22,SaaS,4,3465387849.44,5927235280.188162,45,Singapore,2021,107.46,4,866346962.36,400000,8663.4696236,14818.088200470405,1.7104103603139234,0.00577135976373668
Startup_23,EdTech,9,4566754284.14,7545805565.319331,7,Singapore,2014,69.76,11,415159480.3763637,900000,5074.171426822222,8384.228405910368,1.6523344799884145,0.012043564548898749
Startup_24,AI,4,3021729517.51,5211428908.023629,2,USA,2014,114.99,11,274702683.41,400000,7554.323793775001,13028.572270059072,1.7246510244629736,0.018201496752535854
Startup_25,E-commerce,8,288205121.58,1415080231.4529824,22,Germany,2021,176.28,4,72051280.395,800000,360.25640197499996,1768.850289316228,4.9099760049204555,0.0693950193888154
Startup_26,E-commerce,10,3334508349.99,5015410780.912428,1,Brazil,2017,154.84,8,416813543.74875,1000000,3334.5083499899997,5015.410780912428,1.5040930339633036,0.011995771430627834
Startup_27,Biotech,2,4166499162.52,16357699018.240278,22,Germany,2002,82.81,23,181152137.50086957,200000,20832.4958126,81788.49509120139,3.9260055937096947,0.027601109592074225
Startup_28,EdTech,5,440011615.23,1565465840.3469183,9,China,2013,146.55,12,36667634.6025,500000,880.02323046,3130.931680693837,3.5577829906345273,0.13636003669729763
Startup_29,E-commerce,3,3256022294.9,8096886148.448484,48,USA,2010,99.75,15,217068152.99333334,300000,10853.407649666668,26989.620494828283,2.4867416175653547,0.023034240311399164
Startup_30,SaaS,5,3026419469.15,6802919454.497738,13,Brazil,2005,47.37,20,151320973.4575,500000,6052.8389383,13605.838908995476,2.247844201322299,0.03304234625086059
Startup_31,AI,9,4705042824.65,17203808326.963245,35,Germany,2002,87.95,23,204567079.33260867,900000,5227.825360722221,19115.342585514718,3.656461581355109,0.024441860422079083
Startup_32,E-commerce,1,4294449811.39,20891484639.41212,8,China,2019,91.51,6,715741635.2316667,100000,42944.4981139,208914.8463941212,4.864763952765837,0.006985760997935564
Startup_33,AI,7,2867170174.15,6499884835.941129,27,Germany,2019,83.3,6,477861695.69166666,700000,4095.957391642857,9285.549765630183,2.2670035055969713,0.010463278486389036
Startup_34,EdTech,9,4374659519.73,6662238862.925446,2,France,2016,196.58,9,486073279.96999997,900000,4860.732799699999,7402.487625472717,1.5229159738896967,0.010286514824078781
Startup_35,Blockchain,6,3777513647.39,15234607026.317108,12,Australia,2003,186.59,22,171705165.79045454,600000,6295.856078983333,25391.011710528514,4.032972067974702,0.02911968301583831
Startup_36,Blockchain,3,3647514987.49,5586375044.628251,18,Australia,2014,13.16,11,331592271.59,300000,12158.383291633332,18621.250148760835,1.5315564332944545,0.015078759152089925
Startup_37,AI,10,4411234804.76,11691080168.103416,50,Canada,2011,147.11,14,315088200.34000003,1000000,4411.23480476,11691.080168103417,2.6502965009906085,0.015868572655544335
Startup_38,Fintech,6,2725867165.62,4089854368.774714,19,USA,2022,187.72,3,908622388.54,600000,4543.111942699999,6816.423947957856,1.5003865266649832,0.005502836010935347
Startup_39,HealthTech,5,4790851851.76,22981467971.673523,20,USA,2001,33.71,24,199618827.15666667,500000,9581.703703520001,45962.935943347045,4.796948159277957,0.02504773758677509
Startup_40,AI,1,2751786274.72,8856652982.291237,14,India,2005,97.9,20,137589313.736,100000,27517.862747199997,88566.52982291237,3.2185104866810272,0.03634003153467113
Startup_41,AI,5,3972168775.93,18893051079.68139,49,Canada,2016,104.99,9,441352086.2144444,500000,7944.33755186,37786.10215936278,4.756356576328502,0.011328823758115414
Startup_42,EdTech,9,1036222596.89,3964715622.1792393,25,Australia,2016,110.52,9,115135844.09888889,900000,1151.3584409888888,4405.239580199155,3.8261234932325197,0.04342696263819941
Startup_43,E-commerce,5,1638827482.93,3545351528.3056784,38,Brazil,2017,167.34,8,204853435.36625,500000,3277.65496586,7090.703056611357,2.1633463956603127,0.02440769416954459
Startup_44,SaaS,5,2767906479.48,11784319878.459991,17,USA,2005,153.61,20,138395323.974,500000,5535.81295896,23568.639756919983,4.2574848412775435,0.036128388275165554
Startup_45,E-commerce,7,3480520968.8,13041915911.934908,30,France,2010,125.65,15,232034731.25333336,700000,4972.172812571429,18631.308445621296,3.747116029136134,0.02154849824848439
Startup_46,AI,5,3254439463.31,7876334439.049745,20,Australia,2016,147.04,9,361604384.81222224,500000,6508.87892662,15752.66887809949,2.420181578992698,0.01382726595695584
Startup_47,Blockchain,6,4032615160.05,20078014719.067585,38,France,2000,48.73,25,161304606.402,600000,6721.02526675,33463.357865112645,4.97890671988116,0.030997254892641463
Startup_48,E-commerce,2,475269528.08,2223977127.625992,49,Germany,2012,48.13,13,36559194.46769231,200000,2376.3476404,11119.88563812996,4.67940188930362,0.136764501319047
Startup_49,Biotech,2,4897855433.55,8005010523.680097,16,France,2011,122.39,14,349846816.68214285,200000,24489.277167750002,40025.052618400485,1.634390935438045,0.014291969403691344
Startup_50,HealthTech,10,1979604878.09,8694160540.971277,4,UK,2013,12.64,12,164967073.17416665,1000000,1979.6048780899998,8694.160540971277,4.391866597823169,0.030309078677301676
Startup_51,Blockchain,4,2876153119.3,5826669173.859353,18,Australia,2001,138.19,24,119839713.30416667,400000,7190.382798250001,14566.672934648383,2.025854998734369,0.0417223962085877
Startup_52,Fintech,8,2321745880.25,6758206634.670489,32,USA,2000,192.74,25,92869835.21,800000,2902.1823503125,8447.75829333811,2.9108296011890764,0.05383879478943678
Startup_53,Blockchain,10,675587864.57,1229453482.539445,26,USA,2014,139.82,11,61417078.59727273,1000000,675.5878645700001,1229.4534825394448,1.8198276597552128,0.08141058015452446
Startup_54,E-commerce,3,1176101216.28,3251064586.116904,4,Australia,2002,198.29,23,51134835.49043478,300000,3920.3373876,10836.881953723012,2.764272786316809,0.09778069983104364
Startup_55,HealthTech,2,3604778899.84,16922409671.52045,3,Germany,2018,71.9,7,514968414.26285714,200000,18023.8944992,84612.04835760225,4.694437617872087,0.009709333352332232
Startup_56,E-commerce,7,4830737938.1,17347814945.71877,5,Brazil,2020,92.66,5,966147587.6200001,700000,6901.0541972857145,24782.592779598242,3.5911314519665125,0.005175192759438502
Startup_57,SaaS,1,4360313592.0,9907684658.828943,37,China,2019,160.82,6,726718932.0,100000,43603.13592,99076.84658828944,2.27224130782861,0.0068802390853359525
Startup_58,HealthTech,6,2028361128.74,6102998475.328899,29,Germany,2009,119.37,16,126772570.54625,600000,3380.601881233333,10171.664125548166,3.008832297589941,0.0394407084943968
Startup_59,AI,2,2756855232.44,11130347512.391493,25,Australia,2007,157.0,18,153158624.02444446,200000,13784.2761622,55651.73756195747,4.037334779650506,0.0326458926609447
Startup_60,Fintech,6,820455124.6,1840836654.7642283,31,Australia,2009,57.83,16,51278445.2875,600000,1367.4252076666667,3068.061091273714,2.243677441422161,0.09750685637925992
Startup_61,AI,5,4437872047.6,6878102854.758722,22,Singapore,2013,107.86,12,369822670.6333334,500000,8875.744095200002,13756.205709517444,1.5498650661815265,0.013519993221176346
Startup_62,SaaS,8,1924235656.36,3798190442.146417,37,UK,2010,104.21,15,128282377.09066667,800000,2405.29457045,4747.738052683021,1.973869691891742,0.03897651503967789
Startup_63,Biotech,4,2463967074.34,5665325649.959255,44,France,2008,53.86,17,144939239.66705883,400000,6159.91768585,14163.314124898137,2.2992700304149856,0.03449721422221852
Startup_64,E-commerce,3,4470788164.24,19418366785.32559,16,USA,2019,58.4,6,745131360.7066666,300000,14902.627214133332,64727.88928441863,4.343387803664047,0.006710226228108434
Startup_65,AI,3,4815534280.92,20158491149.734688,45,China,2008,25.42,17,283266722.40705884,300000,16051.7809364,67194.97049911563,4.1861380220272135,0.017651208576540522
Startup_66,AI,6,365913860.56,1672037254.1104138,21,India,2017,144.35,8,45739232.57,600000,609.8564342666667,2786.7287568506895,4.569483242726862,0.10931534525306968
Startup_67,SaaS,6,2996659583.02,4667230455.884717,48,Brazil,2006,62.22,19,157718925.42210525,600000,4994.432638366667,7778.717426474528,1.5574776936061367,0.0317019659284289
Startup_68,AI,3,3711464088.69,11066201278.735676,15,Canada,2013,87.42,12,309288674.0575,300000,12371.5469623,36887.33759578559,2.9816269305845844,0.01616612705019534
Startup_69,Biotech,6,928128649.47,4634153806.239821,21,Australia,2007,187.21,18,51562702.748333335,600000,1546.8810824500001,7723.589677066369,4.993008037071278,0.09696931567772822
Startup_70,Blockchain,1,2603523861.44,9563072271.63529,19,France,2007,107.67,18,144640214.52444446,100000,26035.2386144,95630.7227163529,3.6731264165737234,0.03456853280008784
Startup_71,HealthTech,7,3644872687.35,11926210327.426886,14,Canada,2010,59.98,15,242991512.48999998,700000,5206.9609819285715,17037.44332489555,3.272051275979634,0.020576850395981502
Startup_72,Blockchain,4,744631010.32,1620392801.4186869,2,Singapore,2008,123.34,17,43801824.13647059,400000,1861.5775258,4050.9820035467174,2.1761016919270313,0.1141504971213485
Startup_73,E-commerce,8,1344780386.06,4537818813.982469,19,Australia,2005,179.18,20,67239019.303,800000,1680.975482575,5672.2735174780855,3.374393961290275,0.074361584268034
Startup_74,Fintech,3,491018020.84,1354841679.996854,20,India,2013,165.57,12,40918168.40333333,300000,1636.7267361333331,4516.138933322847,2.759250419524489,0.12219510782385566
Startup_75,Biotech,1,1582882524.88,5586959852.453201,16,India,2020,144.16,5,316576504.976,100000,15828.825248800002,55869.59852453201,3.529611177479361,0.015793970561330996
Startup_76,SaaS,10,1085427021.26,4630172763.526157,18,Australia,2016,91.33,9,120603002.36222222,1000000,1085.42702126,4630.172763526158,4.265761467916377,0.041458337703591065
Startup_77,Blockchain,7,1340475423.36,2357879218.228429,20,Singapore,2004,81.98,21,63832163.017142855,700000,1914.9648905142856,3368.39888318347,1.758987279541636,0.07833041782803432
Startup_78,HealthTech,8,4940530156.26,23772801009.3952,14,India,2021,108.11,4,1235132539.065,800000,6175.662695325001,29716.001261743997,4.811791499597139,0.00404814855236914
Startup_79,Fintech,8,2749898672.7,5542968257.287758,9,Germany,2011,189.55,14,196421333.7642857,800000,3437.373340875,6928.7103216096975,2.0156990918670363,0.025455483394691846
Startup_80,E-commerce,8,4533989298.71,8054285187.148059,22,India,2005,69.71,20,226699464.9355,800000,5667.4866233875,10067.856483935073,1.7764235106244395,0.022055632118155147
Startup_81,Biotech,8,844854106.72,2590555965.7149515,23,USA,2002,69.33,23,36732787.24869566,800000,1056.0676334,3238.1949571436894,3.066276112182655,0.13611817600847986
Startup_82,HealthTech,1,3631343014.13,7772600871.780343,34,USA,2010,28.16,15,242089534.27533334,100000,36313.4301413,77726.00871780343,2.1404204564361455,0.02065351571255203
Startup_83,EdTech,8,3689561074.31,15527195348.04439,32,Singapore,2012,159.5,13,283812390.33153844,800000,4611.9513428875,19408.994185055486,4.208412609336788,0.017617271727140584
Startup_84,SaaS,1,1876264361.81,6903335389.091311,14,Singapore,2023,118.95,2,938132180.905,100000,18762.6436181,69033.35389091312,3.6792978268967294,0.0053297393499246405
Startup_85,Biotech,5,2447270415.5,8095858828.067322,27,China,2021,129.03,4,611817603.875,500000,4894.540831,16191.717656134644,3.3081178020996354,0.008172370275605124
Startup_86,Biotech,7,2407386442.25,8783700785.20548,10,Germany,2002,182.23,23,104668975.75,700000,3439.1234889285715,12548.143978864971,3.648645946928249,0.04776964677616041
Startup_87,HealthTech,2,4730860833.16,8195466150.18074,34,Canada,2000,170.46,25,189234433.32639998,200000,23654.3041658,40977.330750903704,1.7323414150626244,0.026422252610738012
Startup_88,AI,3,2700679626.1,4800271506.759951,14,Australia,2020,107.0,5,540135925.22,300000,9002.265420333333,16000.905022533168,1.7774309327063467,0.0092569291664195
Startup_89,SaaS,9,1054977036.09,3208096453.804389,31,China,2005,157.79,20,52748851.8045,900000,1172.1967067666667,3564.55161533821,3.040915910069825,0.09478879310077136
Startup_90,E-commerce,9,2701705689.18,10238979645.81396,8,Australia,2010,104.13,15,180113712.612,900000,3001.8952102,11376.644050904399,3.7898205148028588,0.027760240614055708
Startup_91,SaaS,7,1480174017.83,6153889306.393388,24,USA,2016,159.77,9,164463779.75888887,700000,2114.534311185714,8791.27043770484,4.1575444726527895,0.0304018307698523
Startup_92,Blockchain,7,1868556515.9,5626482827.87125,48,China,2006,74.81,19,98345079.78421053,700000,2669.3664512857144,8037.832611244643,3.011138694491788,0.050841384347554905
Startup_93,HealthTech,4,4965764721.83,22063441300.70618,19,USA,2022,185.18,3,1655254907.2766666,400000,12414.411804575,55158.60325176545,4.443110484818799,0.003020682783068335
Startup_94,EdTech,6,4373093561.43,14431864169.34468,21,Singapore,2017,31.3,8,546636695.17875,600000,7288.48926905,24053.1069489078,3.3001498748235027,0.009146842947243052
Startup_95,HealthTech,4,4236712037.57,18506506243.386707,21,Canada,2012,27.37,13,325900925.9669231,400000,10591.780093925001,46266.26560846677,4.3681293605220475,0.015342085896704289
Startup_96,Fintech,3,835931781.31,2239262009.884896,23,Singapore,2017,162.48,8,104491472.66375,300000,2786.439271033333,7464.206699616319,2.6787616644694596,0.04785079463938488
Startup_97,EdTech,7,1110163040.41,3432586808.6567926,43,France,2012,122.79,13,85397156.95461538,700000,1585.9472005857144,4903.695440938275,3.0919663902601964,0.05854995855022747
Startup_98,SaaS,5,817466253.48,2610638765.116803,40,Brazil,2010,160.46,15,54497750.232,500000,1634.93250696,5221.277530233607,3.1935737457089717,0.09174690659182659
Startup_99,E-commerce,3,540940572.76,2291586359.294553,42,France,2001,59.69,24,22539190.531666666,300000,1803.1352425333332,7638.621197648509,4.236299650444717,0.221835828264338
Startup_100,Blockchain,8,3308060362.77,5174334068.134404,39,Canada,2005,5.42,20,165403018.1385,800000,4135.0754534625,6467.917585168006,1.5641595075978851,0.030229194462541527
Startup_101,Fintech,3,222399646.12,866057139.4324499,9,UK,2005,14.62,20,11119982.306,300000,741.3321537333334,2886.8571314415,3.894148010312715,0.4496410032327258
Startup_102,EdTech,7,4504529995.14,18845746993.929115,21,Singapore,2018,195.16,7,643504285.0200001,700000,6435.0428502,26922.495705613022,4.183732157242166,0.007769956030432027
Startup_103,Blockchain,4,4777022152.23,9085127518.302149,8,Australia,2007,40.44,18,265390119.5683333,400000,11942.555380574999,22712.81879575537,1.901839101596179,0.01884018895704438
Startup_104,Biotech,1,4255546911.86,11515638960.56781,9,USA,2000,92.03,25,170221876.4744,100000,42555.4691186,115156.3896056781,2.706030317389826,0.02937342780821688
Startup_105,Fintech,10,4055211093.34,16887114468.162745,21,Australia,2009,109.49,16,253450693.33375,1000000,4055.21109334,16887.114468162745,4.164299731744417,0.01972770298724683
Startup_106,E-commerce,5,1022453449.75,2849976436.576566,45,France,2023,22.65,2,511226724.875,500000,2044.9068995,5699.952873153133,2.7873899171384418,0.009780396361756224
Startup_107,SaaS,7,1862792339.72,8231911404.888959,25,Germany,2013,151.19,12,155232694.97666666,700000,2661.1319138857143,11759.873435555655,4.419124574093059,0.03220970943493289
Startup_108,SaaS,3,2793350138.78,6641452650.349066,24,Germany,2012,169.31,13,214873087.59846157,300000,9311.167129266667,22138.175501163554,2.3775940431333575,0.02326954974158336
Startup_109,EdTech,1,190552569.77,579122421.6948707,21,Singapore,2015,6.85,10,19055256.977,100000,1905.5256977000001,5791.224216948707,3.0391740315750173,0.26239478197722965
Startup_110,E-commerce,3,4176182629.51,10240648046.87746,37,Australia,2003,36.45,22,189826483.15954545,300000,13920.608765033334,34135.493489591536,2.4521552229335852,0.02633984424500768
Startup_111,HealthTech,4,291159535.66,1212955100.3722916,26,UK,2001,98.27,24,12131647.319166668,400000,727.8988391500001,3032.387750930729,4.165946678073815,0.4121451826332398
Startup_112,SaaS,6,3957776781.25,13305043815.736095,6,USA,2001,14.82,24,164907365.88541666,600000,6596.294635416667,22175.073026226826,3.361746897593833,0.030320052552862756
Startup_113,Biotech,2,4061720586.36,7008812342.15335,34,Brazil,2018,87.1,7,580245798.0514286,200000,20308.6029318,35044.06171076675,1.725577176748746,0.008617037842912286
Startup_114,Biotech,2,1973996602.66,5342730965.915696,25,Australia,2017,21.01,8,246749575.3325,200000,9869.9830133,26713.65482957848,2.7065552993942643,0.020263459393040088
Startup_115,SaaS,6,1207908188.67,5176553240.218474,24,Germany,2018,135.34,7,172558312.66714287,600000,2013.1803144500002,8627.588733697457,4.285551905992341,0.028975712167774684
Startup_116,HealthTech,10,4148060234.72,19654238527.67062,12,Singapore,2020,192.62,5,829612046.944,1000000,4148.06023472,19654.23852767062,4.738175777478147,0.0060269134451678315
Startup_117,HealthTech,5,297037415.8,631590080.9830602,27,Germany,2022,10.75,3,99012471.93333334,500000,594.0748316,1263.1801619661205,2.1262980600676915,0.0504986887244526
Startup_118,EdTech,5,3187593538.06,14966432137.19435,2,France,2021,166.15,4,796898384.515,500000,6375.18707612,29932.8642743887,4.695213476402975,0.006274325682116984
Startup_119,Biotech,9,4898710204.12,10016527782.74132,9,France,2004,107.44,21,233271914.48190475,900000,5443.011337911111,11129.475314157022,2.0447275640671787,0.021434213420440967
Startup_120,AI,1,2434425122.57,7540340367.746701,8,USA,2003,175.64,22,110655687.38954546,100000,24344.2512257,75403.40367746701,3.0973802799843084,0.045185205730983426
Startup_121,Fintech,8,3231666823.75,8713378948.186407,15,Brazil,2014,62.93,11,293787893.0681818,800000,4039.5835296875,10891.72368523301,2.69624915667373,0.017019081173775968
Startup_122,HealthTech,7,359706950.69,893681743.5278616,45,Australia,2007,139.11,18,19983719.482777778,700000,513.8670724142858,1276.6882050398024,2.484471711801999,0.2502036722597644
Startup_123,EdTech,7,12109878.52,35333149.76319448,35,France,2001,61.1,24,504578.27166666667,700000,17.299826457142856,50.47592823313497,2.9177129815827816,9.909265382127053
Startup_124,AI,4,4058325476.85,10666646232.548092,3,China,2014,172.42,11,368938679.71363634,400000,10145.813692125,26666.615581370228,2.6283368087143546,0.01355238763222363
Startup_125,Biotech,9,1049458896.63,3791331978.2543135,24,Brazil,2004,100.65,21,49974233.17285714,900000,1166.0654407,4212.591086949237,3.612654092912984,0.1000515602251539
Startup_126,E-commerce,6,4243311793.92,20389236539.748764,12,Canada,2014,20.41,11,385755617.6290909,600000,7072.1863232000005,33982.06089958127,4.8050290739802195,0.012961574041956183
Startup_127,SaaS,9,4724792423.72,22577045559.21223,36,Canada,2014,148.05,11,429526583.9745455,900000,5249.769359688889,25085.60617690248,4.778420623489847,0.01164072303449397
Startup_128,Blockchain,1,996364970.4,4709629475.220037,35,Singapore,2010,181.98,15,66424331.36,100000,9963.649704,47096.294752200374,4.726811575209547,0.07527362184350032
Startup_129,Blockchain,6,3357130456.98,13831720869.291971,14,Brazil,2011,131.76,14,239795032.64142856,600000,5595.2174283,23052.868115486617,4.120102285728472,0.020851140846927484
Startup_130,Biotech,10,1485976623.94,5820844542.537277,40,Germany,2017,112.16,8,185747077.9925,1000000,1485.97662394,5820.844542537277,3.917184462231694,0.026918323852189414
Startup_131,EdTech,9,1086640783.67,3375032748.53194,50,Brazil,2023,179.37,2,543320391.835,900000,1207.3786485222224,3750.036387257711,3.1059323368419576,0.009202673183520858
Startup_132,Blockchain,4,670778423.23,2036188590.9963207,31,Singapore,2021,75.42,4,167694605.8075,400000,1676.946058075,5090.471477490802,3.0355606568134075,0.029816105150928945
Startup_133,AI,9,2162442988.16,9684369294.297209,13,USA,2011,121.76,14,154460213.44,900000,2402.7144312888886,10760.410326996898,4.478439129873911,0.03237079561554696
Startup_134,Blockchain,1,3353919321.47,14101768667.1437,30,Germany,2008,77.07,17,197289371.85117647,100000,33539.1932147,141017.686671437,4.204564068333937,0.02534348380292734
Startup_135,EdTech,4,2832206309.3,8112943643.786815,32,Brazil,2010,111.76,15,188813753.95333335,400000,7080.51577325,20282.359109467037,2.864531308028894,0.026481121715506938
Startup_136,EdTech,1,3021364194.14,8955654521.83277,23,Singapore,2017,6.27,8,377670524.2675,100000,30213.641941399997,89556.5452183277,2.9641095698434676,0.013239052768805843
Startup_137,Biotech,9,1946598865.69,3284018974.773792,47,China,2017,101.04,8,243324858.21125,900000,2162.8876285444444,3648.9099719708797,1.6870548075706002,0.02054866090031416
Startup_138,Fintech,8,1489972758.45,6800634564.458862,27,China,2022,35.29,3,496657586.15000004,800000,1862.4659480625,8500.793205573578,4.564267719588027,0.010067298153561083
Startup_139,SaaS,10,3735587366.9,12047108054.164742,26,Brazil,2016,98.03,9,415065262.9888889,1000000,3735.5873669000002,12047.10805416474,3.2249568463880167,0.012046298367622846
Startup_140,Fintech,8,518119024.64,1848811352.670756,4,Australia,2023,60.11,2,259059512.32,800000,647.6487807999999,2311.0141908384453,3.568313967925323,0.01930058446888379
Startup_141,SaaS,10,2947681328.36,10472893197.384682,4,UK,2022,115.34,3,982560442.7866668,1000000,2947.68132836,10472.893197384681,3.5529258528130923,0.005088745467728542
Startup_142,HealthTech,5,1977534387.2,7797893013.34299,19,India,2005,181.97,20,98876719.36,500000,3955.0687744,15595.78602668598,3.943240159977224,0.05056802078753759
Startup_143,Fintech,3,4770544813.57,12197472011.325336,20,Singapore,2000,34.12,25,190821792.54279998,300000,15901.816045233332,40658.24003775112,2.5568299823175655,0.026202457975959614
Startup_144,AI,1,3369684711.8,12010652855.448309,47,Brazil,2022,60.81,3,1123228237.2666667,100000,33696.847118000005,120106.52855448308,3.5643254140036507,0.0044514550419132186
Startup_145,EdTech,10,4766934837.14,22688495648.32832,10,France,2005,37.06,20,238346741.85700002,1000000,4766.93483714,22688.49564832832,4.759556491428914,0.020977840775351697
Startup_146,Fintech,9,3908318141.0,15444336263.034132,31,Germany,2018,142.43,7,558331163.0,900000,4342.575712222222,17160.37362559348,3.951657901391434,0.008955258691157814
Startup_147,SaaS,9,4769084379.19,14035036447.835238,41,China,2021,192.97,4,1192271094.7975,900000,5298.982643544444,15594.484942039153,2.9429205549554576,0.004193677110698737
Startup_148,EdTech,10,4955751623.38,16105806924.645227,31,Canada,2014,68.54,11,450522874.8527273,1000000,4955.75162338,16105.806924645227,3.2499221407025423,0.011098215604778035
Startup_149,SaaS,2,910772164.92,1496492548.4850855,8,India,2013,36.1,12,75897680.41,200000,4553.860824599999,7482.462742425428,1.6431030790412156,0.0658781661440765
Startup_150,EdTech,10,1170195349.16,2107219309.261388,9,Canada,2022,92.8,3,390065116.3866667,1000000,1170.19534916,2107.219309261388,1.800741483696727,0.01281837259972656
Startup_151,Fintech,6,1967034352.33,5472960035.673135,17,Australia,2007,65.59,18,109279686.24055555,600000,3278.3905872166665,9121.600059455224,2.7823408519481525,0.04575415772144132
Startup_152,Biotech,2,621222707.35,2548933014.4338064,32,UK,2007,157.7,18,34512372.630555555,200000,3106.11353675,12744.665072169031,4.103090541083078,0.14487557994124248
Startup_153,Biotech,10,2136105819.3,6159536137.742708,12,India,2020,69.58,5,427221163.86,1000000,2136.1058193,6159.536137742708,2.883535114267505,0.011703540046622071
Startup_154,EdTech,3,2368764171.87,11722669062.171286,32,France,2002,118.16,23,102989746.60304347,300000,7895.8805729,39075.563540570955,4.94885442855923,0.04854852220650326
Startup_155,Blockchain,1,821122733.28,3928588827.501104,26,Germany,2019,198.98,6,136853788.88,100000,8211.2273328,39285.888275011035,4.7844112314467715,0.036535342140832074
Startup_156,Biotech,5,4780102280.95,19249131120.151016,50,USA,2019,33.75,6,796683713.4916667,500000,9560.2045619,38498.262240302036,4.026928711727364,0.00627601633537385
Startup_157,AI,4,2804170174.14,6711381134.882058,1,India,2008,49.31,17,164951186.71411765,400000,7010.42543535,16778.452837205146,2.393357292212248,0.030311997746737436
Startup_158,EdTech,9,1210756532.74,5972236369.372301,25,Singapore,2011,143.16,14,86482609.48142858,900000,1345.2850363777777,6635.818188191446,4.932648478762981,0.057815091727472775
Startup_159,AI,4,3380537691.88,13459651069.24716,36,Brazil,2011,34.61,14,241466977.99142858,400000,8451.3442297,33649.1276731179,3.9815119061021083,0.020706765130333833
